mortgage,loans,age,marital_status,income,risk
1,3,34,1,28060.7,0
0,2,37,1,28009.34,0
0,2,29,1,27614.6,0
1,2,33,1,27287.18,0
1,2,39,1,26954.06,0
0,2,28,1,26271.86,0
0,3,28,1,40445,0
0,2,25,1,23888.3,0
0,2,41,1,35249.25,0
0,2,26,1,23518.88,0
0,2,30,1,23575.22,0
0,2,23,1,23447.54,0
0,2,47,1,23058.02,0
1,2,23,1,22039.4,0
1,2,24,1,21114.5,0
0,3,28,1,24996.75,0
0,3,31,1,16351.22,0
0,2,47,1,16095.2,0
1,1,22,0,42156.98,0
1,1,38,0,40053.5,0
1,1,23,0,39780.92,0
1,1,27,0,39528.14,0
1,2,23,0,27980.84,0
1,2,27,0,26857.34,0
1,2,35,0,41436.25,0
1,1,23,0,25453.46,0
1,1,26,0,24777.08,0
1,1,17,0,23948.48,0
1,2,27,0,23972.6,0
1,2,29,0,23709.38,0
1,2,43,0,33036,0
1,2,24,0,32626,0
1,2,30,0,32411.5,0
1,1,33,0,22121.12,0
1,1,30,0,21024.62,0
1,2,34,0,19904.78,0
1,1,23,0,24314.5,0
1,1,26,0,19040,0
1,2,19,0,19192,0
1,2,36,0,16856.54,0
1,1,35,0,16364.5,0
1,1,30,0,15989.42,0
1,0,42,1,33971.9,0
1,0,35,1,27311.3,0
0,1,23,1,35641.75,0
1,1,28,1,34407,0
0,1,48,1,28143.5,0
0,1,23,1,19332.74,0
0,1,19,1,20954.5,0
1,2,50,0,23910,0
0,1,33,1,20188.1,0
1,0,40,0,56329.4,0
1,0,25,1,35483.12,0
1,3,47,1,29225.6,0
0,3,18,1,28831.82,0
0,2,38,1,28961.48,0
0,3,25,1,28380.38,0
1,2,33,1,27134.72,0
0,2,31,1,26646.62,0
0,2,34,1,26092.52,0
1,2,47,1,26094.2,0
1,2,40,1,25691.12,0
1,3,36,1,25585.04,0
1,2,32,1,25052.36,0
1,3,28,1,24787.34,0
1,2,38,1,24819.02,0
1,2,26,1,24297.38,0
1,2,43,1,24164.54,0
1,3,42,1,24114.02,0
0,2,46,1,23868.56,0
1,2,25,1,23579.84,0
1,2,32,1,23559.26,0
1,3,34,1,23680.52,0
1,2,33,1,23615.24,0
1,3,26,1,22544.66,0
0,3,40,1,20465.84,0
1,3,41,1,20307.5,0
0,3,31,1,20352.26,0
1,2,51,1,19886.72,0
1,2,46,1,18133.25,0
1,3,36,1,16402.4,0
1,3,38,1,15301.25,0
1,0,35,0,53882.66,0
1,0,42,0,52492.46,0
1,0,44,0,45447.98,0
1,0,33,0,44444.72,0
1,1,25,0,43281.44,0
1,1,34,0,43321.7,0
1,0,42,0,40621.16,0
1,1,35,0,27800.66,0
1,1,26,0,24053.48,0
1,1,27,0,36316,0
1,1,39,0,23785.64,0
1,2,44,0,35426.25,0
1,2,33,0,35558,0
1,2,34,0,35581,0
1,1,21,0,34947.5,0
1,1,36,0,33782.75,0
1,1,37,0,33691.5,0
1,1,41,0,22935.38,0
1,2,29,0,33470.25,0
1,1,39,1,32943.5,0
1,1,41,0,32713.5,0
1,2,59,0,22484.12,0
1,1,28,1,32228.5,0
1,1,32,0,22319.24,0
1,1,25,0,32222.25,0
1,2,46,0,22276.64,0
1,2,26,0,22198.7,0
1,1,53,0,31815.75,0
1,1,44,1,31035,0
1,2,53,0,31044.75,0
1,1,45,0,30669.25,0
1,2,52,0,30348,0
1,1,32,0,30028.25,0
0,1,49,0,29352.5,0
1,1,59,0,29154.5,0
1,1,55,0,29218.75,0
1,1,38,0,29009.25,0
0,2,52,0,28675.5,0
1,2,42,0,20533.64,0
1,2,54,0,27191,0
0,2,62,1,27030.5,0
